playlist,track_name,artists,popularity,duracao_min,instrumentalness,tempo,danceability,liveness,valence,is_acoustic
PL1,YKWIM?,Yot Club,84,3.55,0.873,123.7,0.372,0.287,0.228,False
PL1,Chamber Of Reflection,Mac DeMarco,82,3.86,0.914,131.0,0.538,0.102,0.506,False
PL1,Levels - Radio Edit,Avicii,79,3.33,0.828,126.0,0.584,0.309,0.464,False
PL1,K.,Cigarettes After Sex,78,5.33,0.846,93.7,0.454,0.137,0.327,False
PL1,Shootout,Izzamuzzic;Julien Marchal,78,4.92,0.906,87.0,0.663,0.109,0.553,False
PL1,i was all over her,salvia palth,77,2.69,0.853,104.6,0.529,0.116,0.06,False
PL1,Transgender,Crystal Castles,76,3.08,0.847,137.9,0.522,0.24,0.036,False
PL1,Taking a Stand,Henry Jackman,48,2.12,0.932,89.7,0.403,0.078,0.253,False
PL1,Hand Gestures - MAACHINEN Remix,Noisia;Joe Seven;MAACHINEN,28,4.58,0.834,171.9,0.761,0.101,0.207,False
PL2,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap;Quevedo,99,3.32,0.033,128.0,0.621,0.23,0.55,False
PL2,I'm Good (Blue),David Guetta;Bebe Rexha,98,2.92,0.0,128.0,0.561,0.371,0.304,False
PL2,Another Love,Tom Odell,93,4.07,0.0,122.8,0.445,0.094,0.131,False
PL2,Neverita,Bad Bunny,93,2.89,0.0,122.0,0.876,0.143,0.428,False
PL2,Sweater Weather,The Neighbourhood,93,4.01,0.018,124.1,0.612,0.101,0.398,False
PL2,Super Freaky Girl,Nicki Minaj,92,2.85,0.0,133.0,0.95,0.309,0.912,False
PL2,Caile,Luar La L,91,2.36,0.0,121.7,0.704,0.085,0.461,False
PL2,IDOL,BTS,75,3.71,0.0,126.0,0.733,0.123,0.42,False
PL2,Back In The U.S.S.R. - Remastered 2009,The Beatles,65,2.72,0.0,142.5,0.48,0.061,0.494,False
PL2,Дом Периньон,Poshlaya Molly;Eldzhey,57,2.91,0.0,125.0,0.731,0.404,0.751,False
PL2,Faded,NERVO;Skazi,47,3.16,0.009,138.0,0.685,0.068,0.149,False
PL3,Hold On,Chord Overstreet,82,3.31,0.0,119.9,0.618,0.083,0.167,True
PL3,I'm Yours,Jason Mraz,80,4.05,0.0,151.0,0.703,0.097,0.712,True
PL3,Sunsetz,Cigarettes After Sex,78,3.59,0.795,75.4,0.405,0.097,0.131,False
PL3,Wish You Were Here,Pink Floyd,77,5.58,0.011,122.9,0.481,0.832,0.375,False
PL3,Before I Forget,Slipknot,77,4.64,0.0,134.7,0.291,0.886,0.348,False
PL3,Pump It Louder,Tiësto;Black Eyed Peas,76,2.64,0.0,126.0,0.66,0.834,0.543,False
PL3,Pano,Zack Tabudlo,75,4.24,0.015,174.8,0.375,0.191,0.415,True
PL3,Give Me Your Forever,Zack Tabudlo,74,4.08,0.0,99.9,0.627,0.093,0.301,True
PL3,Call on Me - Radio Mix,Eric Prydz,74,2.86,0.001,126.3,0.597,0.839,0.447,False
PL4,Unholy (feat. Kim Petras),Sam Smith;Kim Petras,100,2.62,0.0,131.1,0.714,0.266,0.238,False
PL4,La Bachata,Manuel Turizo,98,2.71,0.0,125.0,0.835,0.218,0.85,False
PL4,I Ain't Worried,OneRepublic,96,2.47,0.001,140.0,0.704,0.055,0.825,False
PL4,As It Was,Harry Styles,95,2.79,0.001,173.9,0.52,0.311,0.662,False
PL4,Glimpse of Us,Joji,94,3.89,0.0,169.9,0.44,0.141,0.268,False
PL4,Alien Blues,Vundabar,82,2.6,0.908,82.3,0.467,0.088,0.433,False
PL4,Hands Up - Single Version,Ottawan,66,3.48,0.0,123.3,0.888,0.375,0.992,False
PL4,Priceless,Bhalwaan;Signature By SB,65,1.8,0.0,146.9,0.665,0.282,0.634,False
PL4,Want (feat. Fave),Olamide;Fave,60,1.69,0.079,89.9,0.715,0.124,0.572,False
PL4,The Boo Boo Song,CoComelon,55,3.52,0.0,130.0,0.783,0.05,0.603,False
PL4,E Deixe o Tempo Ver / Chega Mais Pra Cá (Ao Vivo),Ícaro e Gilmar;Humberto & Ronaldo,45,3.54,0.0,134.3,0.597,0.42,0.682,False
PL4,1500,Mert Demir;Tolga Akdoğan,42,3.13,0.014,90.0,0.682,0.086,0.735,False
